target,shape,surface,color
edible,convex,fibrous,yellow
edible,bell,smooth,white
edible,convex,smooth,gray
edible,bell,smooth,white
edible,bell,smooth,yellow
edible,flat,scaly,yellow
edible,flat,scaly,brown
edible,convex,smooth,white
edible,flat,scaly,yellow
edible,bell,smooth,white
edible,convex,scaly,yellow
edible,convex,fibrous,brown
edible,flat,scaly,brown
edible,convex,smooth,white
edible,convex,smooth,yellow
edible,bell,scaly,yellow
edible,flat,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,white
edible,flat,fibrous,white
edible,sunken,fibrous,gray
edible,flat,smooth,yellow
edible,flat,fibrous,gray
edible,convex,fibrous,brown
edible,bell,scaly,white
edible,convex,smooth,white
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,flat,smooth,white
edible,flat,fibrous,gray
edible,flat,smooth,white
edible,flat,scaly,yellow
edible,convex,scaly,white
edible,sunken,fibrous,brown
edible,convex,scaly,brown
edible,convex,scaly,brown
edible,flat,fibrous,yellow
poisonous,flat,smooth,brown
poisonous,convex,smooth,brown
edible,flat,scaly,brown
edible,convex,scaly,yellow
edible,bell,smooth,yellow
edible,flat,fibrous,white
edible,flat,scaly,brown
edible,convex,scaly,white
edible,bell,smooth,yellow
edible,convex,smooth,yellow
edible,bell,scaly,yellow
edible,convex,smooth,white
edible,bell,smooth,yellow
edible,bell,scaly,yellow
poisonous,convex,smooth,brown
edible,convex,smooth,gray
edible,flat,smooth,brown
edible,convex,fibrous,white
edible,flat,fibrous,gray
edible,flat,fibrous,brown
edible,bell,scaly,yellow
edible,convex,fibrous,white
edible,sunken,fibrous,gray
edible,convex,fibrous,brown
edible,convex,fibrous,white
edible,convex,scaly,brown
edible,bell,smooth,yellow
edible,convex,scaly,white
edible,convex,scaly,yellow
edible,convex,smooth,white
edible,bell,smooth,white
edible,flat,scaly,yellow
poisonous,convex,smooth,brown
edible,flat,fibrous,gray
edible,bell,smooth,yellow
edible,flat,scaly,brown
edible,convex,smooth,yellow
edible,convex,fibrous,brown
edible,flat,scaly,yellow
edible,convex,scaly,brown
edible,convex,smooth,white
poisonous,convex,scaly,white
edible,flat,scaly,brown
poisonous,flat,smooth,brown
edible,convex,fibrous,white
edible,bell,scaly,white
edible,sunken,fibrous,brown
edible,convex,scaly,yellow
edible,flat,smooth,white
edible,convex,smooth,yellow
edible,flat,fibrous,gray
poisonous,convex,scaly,white
edible,convex,scaly,yellow
edible,flat,fibrous,brown
edible,convex,smooth,white
edible,bell,scaly,yellow
edible,flat,fibrous,gray
edible,convex,fibrous,yellow
edible,convex,smooth,yellow
edible,flat,fibrous,brown
edible,convex,fibrous,gray
edible,convex,scaly,yellow
edible,flat,smooth,white
edible,convex,smooth,yellow
edible,flat,scaly,yellow
poisonous,convex,scaly,brown
edible,convex,fibrous,white
edible,convex,smooth,white
edible,convex,scaly,yellow
edible,bell,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,fibrous,white
edible,bell,smooth,white
poisonous,convex,scaly,white
edible,convex,scaly,yellow
edible,flat,smooth,gray
poisonous,convex,smooth,brown
edible,bell,scaly,white
edible,convex,smooth,white
edible,flat,fibrous,yellow
edible,convex,smooth,yellow
edible,bell,scaly,white
edible,convex,scaly,brown
edible,convex,smooth,yellow
edible,convex,fibrous,brown
edible,convex,smooth,yellow
edible,convex,scaly,yellow
poisonous,convex,smooth,brown
edible,convex,smooth,white
edible,convex,smooth,yellow
edible,convex,scaly,white
edible,convex,scaly,yellow
edible,flat,scaly,yellow
edible,convex,scaly,white
edible,sunken,fibrous,gray
edible,flat,fibrous,brown
edible,sunken,fibrous,gray
edible,convex,scaly,white
poisonous,convex,smooth,white
edible,convex,smooth,gray
edible,convex,scaly,yellow
poisonous,convex,scaly,white
edible,convex,smooth,yellow
poisonous,convex,smooth,brown
edible,bell,smooth,yellow
edible,bell,scaly,white
poisonous,convex,scaly,white
poisonous,convex,smooth,brown
edible,convex,smooth,gray
edible,convex,scaly,brown
edible,flat,fibrous,white
edible,flat,scaly,brown
edible,bell,scaly,white
edible,bell,smooth,white
edible,convex,smooth,gray
edible,flat,scaly,brown
edible,convex,smooth,white
edible,flat,fibrous,gray
edible,flat,smooth,brown
edible,convex,fibrous,gray
edible,flat,smooth,white
poisonous,convex,smooth,white
edible,convex,scaly,yellow
edible,bell,smooth,white
edible,flat,fibrous,gray
edible,bell,scaly,white
edible,bell,smooth,yellow
edible,sunken,fibrous,gray
edible,flat,scaly,yellow
edible,bell,smooth,white
edible,convex,fibrous,white
edible,flat,scaly,yellow
edible,flat,fibrous,gray
edible,convex,smooth,white
edible,flat,fibrous,yellow
edible,sunken,fibrous,gray
edible,bell,scaly,white
edible,bell,smooth,white
edible,flat,fibrous,brown
edible,bell,scaly,yellow
edible,convex,fibrous,brown
edible,convex,scaly,brown
edible,convex,scaly,brown
edible,bell,scaly,yellow
edible,flat,scaly,yellow
edible,convex,scaly,yellow
edible,convex,smooth,brown
edible,convex,scaly,white
edible,bell,scaly,yellow
edible,convex,scaly,brown
edible,flat,scaly,brown
edible,flat,scaly,brown
edible,flat,scaly,yellow
edible,convex,smooth,yellow
edible,bell,scaly,white
edible,bell,smooth,white
edible,convex,scaly,yellow
edible,flat,fibrous,white
edible,convex,smooth,yellow
edible,bell,smooth,yellow
edible,flat,scaly,yellow
poisonous,convex,scaly,brown
poisonous,convex,scaly,white
edible,convex,smooth,yellow
edible,flat,fibrous,white
edible,bell,smooth,yellow
edible,convex,scaly,yellow
edible,flat,fibrous,gray
edible,bell,smooth,white
edible,convex,smooth,white
poisonous,convex,scaly,brown
poisonous,convex,smooth,brown
edible,bell,smooth,white
edible,bell,smooth,yellow
edible,flat,scaly,brown
edible,convex,scaly,yellow
edible,flat,scaly,yellow
edible,convex,scaly,white
edible,convex,smooth,yellow
edible,flat,fibrous,brown
edible,flat,fibrous,brown
edible,convex,fibrous,yellow
edible,flat,scaly,yellow
edible,flat,fibrous,brown
edible,flat,fibrous,gray
edible,convex,scaly,brown
edible,convex,scaly,yellow
edible,bell,smooth,white
edible,convex,smooth,white
edible,convex,scaly,white
edible,convex,fibrous,yellow
edible,bell,smooth,yellow
edible,convex,fibrous,brown
edible,convex,scaly,white
edible,flat,fibrous,gray
edible,bell,scaly,white
edible,convex,scaly,yellow
edible,convex,smooth,white
edible,bell,smooth,yellow
edible,bell,scaly,white
edible,convex,scaly,brown
edible,flat,smooth,gray
poisonous,convex,scaly,brown
edible,bell,scaly,white
edible,bell,smooth,yellow
poisonous,convex,scaly,brown
poisonous,convex,smooth,brown
edible,flat,smooth,brown
poisonous,convex,smooth,brown
edible,flat,fibrous,gray
edible,convex,scaly,yellow
edible,bell,scaly,white
edible,flat,scaly,yellow
edible,flat,scaly,yellow
edible,bell,scaly,yellow
edible,sunken,fibrous,brown
edible,convex,smooth,white
edible,bell,scaly,yellow
edible,flat,scaly,yellow
edible,flat,smooth,brown
edible,convex,smooth,white
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,smooth,white
edible,convex,scaly,yellow
edible,convex,scaly,brown
edible,sunken,fibrous,brown
edible,flat,scaly,brown
edible,convex,smooth,white
edible,flat,smooth,yellow
edible,convex,smooth,brown
edible,flat,scaly,yellow
poisonous,convex,scaly,brown
edible,convex,smooth,white
edible,convex,fibrous,white
edible,bell,smooth,white
edible,convex,scaly,white
edible,flat,scaly,yellow
edible,convex,fibrous,brown
poisonous,convex,smooth,white
poisonous,convex,scaly,white
edible,convex,scaly,white
edible,bell,scaly,white
edible,convex,fibrous,white
poisonous,convex,scaly,white
edible,convex,smooth,white
edible,convex,fibrous,gray
edible,convex,fibrous,brown
edible,bell,smooth,white
edible,convex,scaly,brown
edible,bell,scaly,white
edible,flat,scaly,yellow
edible,convex,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
poisonous,convex,smooth,brown
edible,flat,smooth,yellow
edible,convex,scaly,brown
edible,bell,smooth,yellow
edible,flat,smooth,white
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,smooth,yellow
edible,flat,scaly,yellow
edible,convex,smooth,white
edible,bell,scaly,yellow
edible,convex,scaly,brown
edible,bell,smooth,white
edible,flat,scaly,brown
edible,convex,smooth,white
edible,convex,fibrous,brown
edible,convex,scaly,brown
edible,flat,fibrous,gray
edible,convex,smooth,white
edible,flat,fibrous,brown
edible,bell,scaly,yellow
edible,bell,smooth,white
edible,convex,smooth,white
edible,bell,smooth,yellow
edible,convex,scaly,yellow
edible,convex,smooth,yellow
edible,flat,fibrous,gray
edible,convex,scaly,yellow
poisonous,convex,scaly,brown
edible,convex,scaly,brown
edible,convex,smooth,yellow
edible,bell,scaly,white
edible,convex,scaly,yellow
edible,sunken,fibrous,brown
edible,bell,scaly,yellow
edible,convex,smooth,white
edible,convex,smooth,white
poisonous,convex,smooth,brown
edible,convex,fibrous,brown
edible,convex,scaly,yellow
poisonous,convex,scaly,brown
edible,convex,scaly,yellow
edible,bell,scaly,yellow
edible,flat,scaly,brown
edible,convex,scaly,white
edible,convex,smooth,yellow
poisonous,convex,scaly,brown
poisonous,convex,scaly,brown
edible,bell,scaly,yellow
edible,convex,smooth,white
poisonous,convex,smooth,white
edible,convex,scaly,brown
edible,bell,smooth,white
edible,convex,scaly,yellow
poisonous,convex,smooth,brown
edible,bell,scaly,yellow
edible,bell,scaly,white
edible,flat,scaly,yellow
edible,bell,scaly,white
edible,convex,scaly,yellow
edible,bell,smooth,yellow
edible,convex,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
poisonous,convex,scaly,white
poisonous,convex,scaly,white
poisonous,convex,smooth,brown
edible,convex,smooth,white
edible,convex,scaly,brown
edible,convex,scaly,yellow
edible,convex,smooth,white
edible,bell,scaly,white
edible,bell,smooth,yellow
edible,convex,fibrous,gray
edible,bell,smooth,yellow
edible,convex,smooth,white
edible,convex,scaly,brown
edible,convex,scaly,yellow
edible,flat,fibrous,white
edible,flat,fibrous,white
edible,convex,smooth,white
edible,flat,smooth,yellow
edible,sunken,fibrous,gray
edible,flat,fibrous,yellow
edible,convex,scaly,brown
edible,convex,scaly,yellow
edible,convex,scaly,yellow
poisonous,convex,smooth,brown
edible,convex,smooth,yellow
poisonous,convex,scaly,white
edible,convex,scaly,yellow
edible,convex,scaly,white
edible,flat,smooth,yellow
poisonous,convex,scaly,brown
edible,bell,smooth,white
edible,sunken,fibrous,gray
edible,convex,smooth,yellow
edible,convex,fibrous,gray
edible,convex,scaly,yellow
edible,bell,scaly,white
edible,bell,smooth,yellow
edible,convex,smooth,white
edible,bell,smooth,white
edible,flat,scaly,brown
edible,sunken,fibrous,gray
edible,convex,fibrous,white
edible,sunken,fibrous,brown
edible,flat,scaly,brown
edible,flat,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
poisonous,convex,smooth,brown
edible,flat,scaly,brown
edible,convex,smooth,yellow
edible,flat,scaly,yellow
edible,convex,scaly,white
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,flat,fibrous,brown
edible,flat,scaly,yellow
edible,convex,fibrous,gray
edible,convex,smooth,yellow
edible,flat,scaly,brown
edible,convex,smooth,yellow
edible,convex,scaly,yellow
edible,convex,fibrous,brown
edible,convex,smooth,white
edible,convex,scaly,yellow
edible,convex,scaly,white
edible,convex,smooth,white
edible,flat,scaly,yellow
edible,bell,smooth,yellow
edible,flat,fibrous,white
edible,flat,smooth,gray
edible,convex,scaly,white
edible,convex,scaly,white
edible,flat,scaly,yellow
edible,convex,smooth,white
edible,convex,smooth,yellow
edible,flat,scaly,yellow
edible,convex,scaly,yellow
edible,convex,smooth,yellow
edible,convex,fibrous,brown
edible,flat,scaly,yellow
edible,convex,smooth,white
edible,bell,smooth,yellow
edible,convex,smooth,yellow
edible,convex,scaly,brown
edible,bell,scaly,yellow
edible,convex,smooth,white
edible,convex,scaly,white
edible,convex,smooth,yellow
edible,flat,scaly,yellow
edible,convex,fibrous,white
edible,convex,smooth,brown
edible,convex,smooth,white
edible,convex,smooth,yellow
edible,flat,fibrous,white
poisonous,flat,smooth,brown
edible,convex,fibrous,gray
poisonous,flat,scaly,brown
poisonous,convex,smooth,brown
edible,bell,smooth,white
edible,convex,fibrous,gray
edible,convex,smooth,white
edible,flat,fibrous,gray
edible,convex,smooth,gray
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,scaly,gray
edible,flat,fibrous,brown
edible,convex,smooth,white
edible,flat,fibrous,brown
edible,convex,smooth,brown
edible,convex,scaly,yellow
edible,convex,smooth,yellow
edible,flat,fibrous,white
edible,convex,smooth,brown
edible,convex,smooth,gray
poisonous,convex,scaly,brown
edible,convex,fibrous,gray
edible,bell,smooth,white
edible,convex,smooth,gray
edible,flat,fibrous,gray
poisonous,flat,smooth,brown
edible,convex,smooth,yellow
edible,convex,fibrous,brown
edible,flat,smooth,white
edible,convex,scaly,yellow
edible,convex,fibrous,brown
edible,flat,smooth,gray
edible,convex,scaly,red
edible,bell,scaly,yellow
edible,convex,fibrous,white
poisonous,convex,smooth,white
edible,convex,fibrous,gray
edible,flat,fibrous,gray
edible,flat,fibrous,brown
edible,flat,fibrous,white
edible,bell,scaly,white
edible,flat,fibrous,brown
poisonous,flat,scaly,brown
poisonous,convex,scaly,white
edible,bell,smooth,yellow
edible,flat,smooth,gray
edible,convex,fibrous,gray
edible,flat,fibrous,brown
edible,bell,smooth,white
poisonous,convex,smooth,white
edible,convex,scaly,brown
edible,flat,fibrous,white
edible,convex,scaly,yellow
edible,convex,fibrous,brown
edible,flat,fibrous,white
edible,convex,fibrous,brown
edible,convex,fibrous,brown
edible,flat,smooth,gray
edible,flat,smooth,gray
poisonous,flat,smooth,brown
edible,convex,fibrous,brown
edible,convex,smooth,brown
edible,convex,fibrous,white
edible,flat,fibrous,brown
edible,convex,fibrous,brown
edible,flat,fibrous,brown
edible,convex,fibrous,gray
edible,flat,fibrous,brown
edible,convex,smooth,gray
edible,bell,scaly,white
edible,convex,fibrous,brown
edible,convex,scaly,yellow
edible,flat,fibrous,gray
edible,flat,fibrous,brown
edible,convex,smooth,yellow
edible,flat,fibrous,gray
edible,convex,fibrous,brown
poisonous,convex,smooth,white
edible,convex,fibrous,white
edible,flat,fibrous,white
edible,convex,smooth,white
edible,convex,smooth,gray
edible,convex,scaly,yellow
edible,convex,smooth,yellow
edible,convex,smooth,gray
edible,convex,smooth,brown
edible,flat,fibrous,brown
edible,flat,smooth,white
edible,flat,smooth,white
edible,convex,scaly,yellow
edible,flat,smooth,white
edible,bell,smooth,white
poisonous,flat,scaly,white
edible,convex,fibrous,gray
edible,flat,scaly,brown
edible,flat,smooth,brown
poisonous,convex,smooth,white
edible,convex,scaly,brown
edible,convex,smooth,gray
edible,convex,smooth,white
edible,flat,fibrous,white
edible,convex,fibrous,brown
edible,convex,smooth,white
edible,convex,scaly,white
edible,convex,smooth,white
edible,flat,scaly,yellow
edible,flat,smooth,brown
edible,flat,fibrous,gray
edible,flat,fibrous,yellow
edible,flat,scaly,brown
edible,convex,fibrous,brown
poisonous,flat,smooth,brown
edible,convex,fibrous,brown
edible,flat,fibrous,brown
edible,bell,smooth,yellow
edible,bell,scaly,white
edible,convex,scaly,white
poisonous,flat,scaly,white
poisonous,flat,scaly,white
edible,convex,fibrous,brown
edible,flat,smooth,yellow
edible,convex,scaly,yellow
edible,convex,smooth,white
edible,convex,fibrous,gray
poisonous,convex,scaly,brown
edible,convex,fibrous,gray
edible,flat,fibrous,brown
edible,convex,smooth,white
edible,flat,fibrous,white
edible,convex,scaly,yellow
edible,flat,fibrous,yellow
edible,convex,fibrous,gray
poisonous,convex,smooth,brown
edible,convex,scaly,yellow
